Question,FOL Query
Can you spot a White Car on the left of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Left)"
Does the White Car on the left move at a constant speed?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Left)^Vehicles(x)^ConstantSpeed(x)"
Does the distance between the Black Car and the White Car remain the same?,"TypeOf(x, Car)^ColorOf(x, Black)^TypeOf(y, Car)^ColorOf(y, White)^ConstantDistance(x, y)"
Can you spot a trafficsign near the left?,"TrafficSign(x)^InitialLocation(x, NearLeft)"
Can you spot a trafficlight near the left?,"Trafficlight(x)^InitialLocation(x, Left)"
Can you spot a pedestrian on the left?,"Pedestrian(x)^InitialLocation(x, Left)"
Can you spot a Black Car on the right of the scene?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Right)"
Does the Black Car disappear from the right of the scene?,"TypeOf(x, Car)^ColorOf(x, Black)^LastLocation(x, Right)^Disappear(x)"
Does a White Car appear on the left of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Left)^Appear(x)"
Does the White Car move at a constant speed?,"TypeOf(x, Car)^ColorOf(x, White)^Vehicles(x)^ConstantSpeed(x)"
Is there a White Car on the left?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Left)"
Does a Black Car appear from the left?,"TypeOf(x, Car)^ColorOf(x, Black)^Appear(x)^InitialLocation(x, Left)"
Does a Red Car appear from the left?,"TypeOf(x, Car)^ColorOf(x, Red)^Appear(x)^InitialLocation(x, Left)"
Does the distance between the White Car and the Red Car increase?,"TypeOf(x, Car)^ColorOf(x, White)^TypeOf(y, Car)^ColorOf(y, Red)^GoAway(x, y)"
Does the distance between the White Car and the Red Car decrease?,"TypeOf(x, Car)^ColorOf(x, White)^TypeOf(y, Car)^ColorOf(y, Red)^DistanceDecrease(x, y)"
Can you spot a Gray Car near the left?,"TypeOf(x, Car)^ColorOf(x, Gray)^InitialLocation(x, Left)"
Can you spot a Black Car on the left?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Left)"
Can you spot a Black Car at the front?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Front)"
Does the Gray Car on the left disappear from the scene?,"TypeOf(x, Car)^ColorOf(x, Gray)^InitialLocation(x, Left)^Disappear(x)"
Does the distance between Gray Car on the left and the Black Car in the front increase?,"TypeOf(x, Car)^ColorOf(x, Gray)^InitialLocation(x, Left)^TypeOf(y, Car)^ColorOf(y, Black)^InitialLocation(y, Front)^GoAway(x, y)"
Can you spot a building in the front?,"IsBuilding(x)^InitialLocation(x, Front)"
Can you spot a trafficsign in the front that shifts to the right in the later frames due to the camera movement?,"TrafficSign(x)^InitialLocation(x, Front)^LastLocation(x, Right)"
Can you spot persons on the left of the scene?,"Person(x)^InitialLocation(x, Left)"
Are there vehicles on the right of the scene?,"Vehicles(x)^InitialLocation(x, Right)"
Are there any poles on the left?,"Pole(x)^InitialLocation(x, Left)"
Are there any vehicles on the right?,"Vehicles(x)^InitialLocation(x, Right)"
Is there any White Car that disappears from the left of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^LastLocation(x, Left)^Disappear(x)"
Is there any Orange Car on the left of the scene?,"TypeOf(x, Car)^ColorOf(x, Orange)^InitialLocation(x, Left)"
Can you spot a Black Car moving at constant speed on the left of the scene?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Left)^Vehicles(x)^ConstantSpeed(x)^Move(x)"
Is there a pedestrian on the left of the scene?,"Pedestrian(x)^InitialLocation(x, Left)"
Does the distance between the Black Car on the left and the Black Car in the front increase?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Left)^TypeOf(y, Car)^ColorOf(y, Black)^InitialLocation(y, Front)^GoAway(x, y)"
Is there a White Car on the left?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Left)"
Is there a Red Car on the left?,"TypeOf(x, Car)^ColorOf(x, Red)^InitialLocation(x, Left)"
Can you spot a pole on the right?,"Pole(x)^InitialLocation(x, Right)"
Is the White Car on the left moving?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Left)^Move(x)"
Does the White Car on the left disappear?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Left)^Disappear(x)"
Is there a Black Car in the front?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Front)"
Is the Black Car in the front moving?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Front)^Vehicles(x)^Move(x)"
Can you spot any pedestrian on the right of the scene?,"Pedestrian(x)^InitialLocation(x, Right)"
Is there a bicycle on the left?,"TypeOf(x, Bicycle)^InitialLocation(x, Left)"
Is there a person on the left?,"Person(x)^InitialLocation(x, Left)"
Is there a Black Car near the left?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Left)"
Does the distance between the person and the Black Car on the left increase?,"Person(x)^TypeOf(y, BlackCar)^DistanceIncrease(x, y)"
Does the Black Car on the left move?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Left)^Move(x)"
Is there a Black Coupe near the left?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, NearLeft)"
Does the Black Coupe disappear from the left of the scene?,"TypeOf(x, Car)^ColorOf(x, Black)^LastLocation(x, Left)^Disappear(x)"
Is there a White Van at the front?,"TypeOf(x, Van)^ColorOf(x, White)^InitialLocation(x, Front)"
Is the White Van at the front stopped?,"TypeOf(x, Van)^ColorOf(x, White)^InitialLocation(x, Front)^Vehicles(x)^Stopped(x)"
Does the White Van at the front move at a constant speed?,"TypeOf(x, Van)^ColorOf(x, White)^InitialLocation(x, Front)^Vehicles(x)^ConstantSpeed(x)"
Does the distance between Black Coupe on the left and the White Van in the front decrease?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Left)^TypeOf(y, Van)^ColorOf(y, White)^InitialLocation(y, Front)^DistanceDecrease(x, y)"
Can you spot a Gray Hatchback at the front?,"TypeOf(x, Car)^ColorOf(x, Gray)^InitialLocation(x, Front)"
Does the Gray Hatchback that is at the front shift to the near left corner of the scene?,"TypeOf(x, Car)^ColorOf(x, Gray)^InitialLocation(x, Front)^LastLocation(x, NearLeft)^Move(x)"
Is there any White Van at the front?,"TypeOf(x, Van)^ColorOf(x, White)^InitialLocation(x, Front)"
Does the White Van in the front accelerate?,"TypeOf(x, Van)^ColorOf(x, White)^InitialLocation(x, Front)^Vehicles(x)^Accelerate(x)"
Does the Gray Hatchback move at a constant speed?,"TypeOf(x, Car)^ColorOf(x, Gray)^ConstantSpeed(x)"
Does the distance between the White Van in the front and Gray Hatchback increase?,"TypeOf(x, Van)^ColorOf(x, White)^InitialLocation(x, Front)^TypeOf(y, Hatchback)^ColorOf(y, Gray)^GoAway(x, y)"
Can you see any poles on the left of the scene?,"Pole(x)^InitialLocation(x, Left)"
Can you see any poles on the right of the scene?,"Pole(x)^InitialLocation(x, Right)"
Can you spot a Black Truck on the left of the scene?,"TypeOf(x, Truck)^ColorOf(x, Black)^InitialLocation(x, Left)"
Is the Black Truck on the left stopped?,"TypeOf(x, Truck)^ColorOf(x, Black)^InitialLocation(x, Left)^Vehicles(x)^NotMoving(x)"
Is the Black Truck on the left moving?,"TypeOf(x, Truck)^ColorOf(x, Black)^InitialLocation(x, Left)^Moving(x)"
Does the Black Truck on the left move at a constant speed?,"TypeOf(x, Truck)^ColorOf(x, Black)^InitialLocation(x, Left)^Vehicles(x)^ConstantSpeed(x)"
Is there a Black Wagon on the right of the scene?,"TypeOf(x, Wagon)^ColorOf(x, Black)^InitialLocation(x, Right)"
Does the Black Wagon on the right move at a constant speed?,"TypeOf(x, Wagon)^ColorOf(x, Black)^InitialLocation(x, Right)^Vehicles(x)^ConstantSpeed(x)"
Does a pedestrian appear on the right of the scene?,"Pedestrian(x)^Appear(x)^InitialLocation(x, Right)"
Is there a Blue Van on the left of the scene?,"TypeOf(x, Van)^ColorOf(x, Blue)^InitialLocation(x, Left)"
Does the speed of the Blue Van remain unchanged?,"TypeOf(x, Van)^ColorOf(x, Blue)^Vehicles(x)^ConstantSpeed(x)"
Can you spot a White Car in the front of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Front)"
Does the position of the White car change from front to left?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Front)^LastLocation(x, Left)"
Does the speed of the White Car remain unchanged?,"TypeOf(x, Car)^ColorOf(x, White)^ConstantSpeed(x)"
Is there a Red Wagon in the front?,"TypeOf(x, Wagon)^ColorOf(x, Red)^InitialLocation(x, Front)"
Does the speed of the Red Wagon in the front remain unchanged?,"TypeOf(x, Wagon)^ColorOf(x, Red)^InitialLocation(x, Front)^ConstantSpeed(x)"
Does the distance between Red Wagon in the front and the Blue Van on the left increase?,"TypeOf(x, Wagon)^ColorOf(x, Red)^InitialLocation(x, Front)^TypeOf(y, Van)^ColorOf(y, Blue)^InitialLocation(y, Left)^GoAway(x, y)"
Is there a Red Car in the front that moves to the right of the scene?,"TypeOf(x, Car)^ColorOf(x, Red)^InitialLocation(x, Front)^LastLocation(x, Right)^Move(x)"
Is there a White Car on the left of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Left)"
Can you spot a Blue Car in the front?,"TypeOf(x, Car)^ColorOf(x, Blue)^InitialLocation(x, Front)"
Does the White Car on the left move at a constant speed?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Left)^Vehicles(x)^ConstantSpeed(x)"
Does the distance between White Car and the Red Car increase?,"TypeOf(x, Car)^ColorOf(x, White)^TypeOf(y, Car)^ColorOf(y, Red)^GoAway(x, y)"
Can you spot a White Car in the front?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Front)"
Is there a White Car on the right of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Right)"
Does the distance between the White Car on the left and the Red Car on the left increase?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Left)^TypeOf(y, Car)^ColorOf(y, Red)^InitialLocation(y, Left)^GoAway(x, y)"
Does the distance between the White Car on the left and the Red Car on the left decrease?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Left)^TypeOf(y, Car)^ColorOf(y, Red)^InitialLocation(y, Left)^DistanceDecrease(x, y)"
can you spot a White Car in the front of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Front)"
